customerID,risk_score,top_risk_drivers
7590-VHVEG,61.86,tenure; TotalCharges; InternetService Fiber optic
7596-ZYWBB,5.56,Contract Two year; tenure; InternetService Fiber optic
8329-UTMVM,19.75,Contract One year; tenure; InternetService Fiber optic
3014-WJKSM,22.75,InternetService Fiber optic; tenure; PaymentMethod Electronic check
3347-YJZZE,10.92,InternetService Fiber optic; tenure; Contract Two year
1029-QFBEN,25.1,tenure; TotalCharges; InternetService Fiber optic
7929-DMBCV,18.98,InternetService Fiber optic; tenure; PaymentMethod Electronic check
9661-JALZV,5.3,Contract Two year; tenure; InternetService Fiber optic
5433-KYGHE,31.16,InternetService Fiber optic; OnlineSecurity Yes; tenure
4312-KFRXN,4.86,Contract Two year; tenure; InternetService Fiber optic
5575-TPIZQ,21.3,tenure; InternetService Fiber optic; OnlineSecurity Yes
0114-IGABW,5.54,Contract Two year; tenure; InternetService Fiber optic
9944-AEXBM,30.23,tenure; InternetService Fiber optic; PaymentMethod Electronic check
1853-ARAAQ,14.11,InternetService Fiber optic; tenure; PaymentMethod Electronic check
6952-OMNWB,16.88,tenure; TotalCharges; InternetService Fiber optic
4697-LUPSU,6.06,tenure; Contract One year; InternetService Fiber optic
8434-VGEQQ,4.83,Contract Two year; tenure; InternetService Fiber optic
4952-YSOGZ,80.95,tenure; InternetService Fiber optic; TotalCharges
1589-AGTLK,57.11,tenure; TotalCharges; InternetService Fiber optic
5244-IRFIH,54.18,InternetService Fiber optic; PaymentMethod Electronic check; tenure
6549-YMFAW,11.09,InternetService Fiber optic; SeniorCitizen; OnlineSecurity No internet service
4950-HKQTE,5.55,Contract Two year; InternetService Fiber optic; tenure
6786-OBWQR,73.8,tenure; InternetService Fiber optic; TotalCharges
2684-EIWEO,19.17,tenure; InternetService Fiber optic; OnlineSecurity Yes
2753-JMMCV,5.84,Contract Two year; tenure; InternetService Fiber optic
6439-GTPCA,32.05,tenure; PaymentMethod Electronic check; InternetService Fiber optic
6621-YOBKI,9.51,tenure; InternetService Fiber optic; TotalCharges
1216-JWVUX,36.96,InternetService Fiber optic; PaymentMethod Electronic check; tenure
7564-GHCVB,6.3,Contract Two year; tenure; TotalCharges
1173-NOEYG,25.02,tenure; InternetService Fiber optic; PaymentMethod Electronic check
7595-EHCDL,10.62,InternetService Fiber optic; tenure; PaymentMethod Electronic check
6647-ZEDXT,15.0,tenure; Contract One year; InternetService Fiber optic
2521-NPUZR,6.74,Contract Two year; tenure; TotalCharges
1307-TVUFB,25.54,tenure; InternetService Fiber optic; TotalCharges
7503-MIOGA,5.19,Contract Two year; tenure; InternetService Fiber optic
4381-MHQDC,5.63,Contract Two year; tenure; InternetService Fiber optic
6923-JHPMP,51.43,tenure; OnlineSecurity Yes; TotalCharges
5138-WVKYJ,71.69,tenure; InternetService Fiber optic; MonthlyCharges
4018-PPNDW,4.94,Contract Two year; tenure; InternetService Fiber optic
1635-FJFCC,35.68,tenure; InternetService Fiber optic; TotalCharges
2499-AJYUA,6.54,Contract Two year; tenure; TotalCharges
6919-ELBGL,5.74,Contract Two year; tenure; TotalCharges
3966-HRMZA,69.43,tenure; TotalCharges; InternetService Fiber optic
6425-JWTDV,5.4,Contract Two year; tenure; InternetService Fiber optic
8405-IGQFX,11.34,tenure; Contract One year; TotalCharges
8224-IVVPA,9.44,InternetService Fiber optic; tenure; OnlineSecurity Yes
9477-LGWQI,5.31,Contract Two year; tenure; InternetService Fiber optic
1410-RSCMR,13.05,InternetService Fiber optic; tenure; OnlineSecurity Yes
0139-IVFJG,43.72,tenure; OnlineSecurity Yes; InternetService Fiber optic
6683-VLCTZ,62.4,InternetService Fiber optic; PaymentMethod Electronic check; MonthlyCharges
5730-DBDSI,5.39,Contract Two year; tenure; InternetService Fiber optic
0030-FNXPP,9.68,tenure; InternetService Fiber optic; TotalCharges
2189-WWOEW,53.3,InternetService Fiber optic; tenure; Contract Two year
5684-FJVYR,6.26,Contract Two year; tenure; TotalCharges
4013-GUXND,15.52,tenure; TotalCharges; InternetService Fiber optic
1894-IGFSG,41.94,InternetService Fiber optic; PaymentMethod Electronic check; Contract Two year
7379-POKDZ,67.56,tenure; InternetService Fiber optic; TotalCharges
1266-NZYUI,5.75,Contract Two year; tenure; InternetService Fiber optic
7969-FFOWG,4.88,Contract Two year; tenure; InternetService Fiber optic
4718-DHSMV,22.27,InternetService Fiber optic; PaymentMethod Electronic check; Contract Two year
5175-WLYXL,26.06,InternetService Fiber optic; PaymentMethod Electronic check; tenure
7817-OMJNA,6.4,InternetService Fiber optic; Contract One year; OnlineSecurity No internet service
8728-SKJLR,25.53,InternetService Fiber optic; tenure; PaymentMethod Electronic check
3137-NYQQI,8.22,InternetService Fiber optic; Contract One year; OnlineSecurity Yes
7706-DZNKK,7.78,InternetService Fiber optic; OnlineSecurity No internet service; DeviceProtection No internet service
0236-HFWSV,71.08,InternetService Fiber optic; PaymentMethod Electronic check; tenure
3900-AQPHZ,27.34,tenure; TotalCharges; InternetService Fiber optic
5842-POCOP,66.71,tenure; InternetService Fiber optic; OnlineSecurity Yes
2037-XJFUP,34.96,PaymentMethod Electronic check; Contract One year; InternetService Fiber optic
8823-RLPWL,6.6,Contract Two year; tenure; TotalCharges
9505-SQFSW,29.98,tenure; TotalCharges; InternetService Fiber optic
7314-OXENN,78.58,tenure; InternetService Fiber optic; TotalCharges
3758-CKOQL,11.96,tenure; InternetService Fiber optic; Contract One year
0322-CHQRU,55.19,tenure; TotalCharges; InternetService Fiber optic
5676-CFLYY,5.48,Contract Two year; tenure; InternetService Fiber optic
7521-AFHAB,25.81,tenure; InternetService Fiber optic; TotalCharges
0285-INHLN,9.31,InternetService Fiber optic; tenure; PaymentMethod Electronic check
4678-DVQEO,50.99,tenure; TotalCharges; InternetService Fiber optic
5125-CNDSP,6.14,tenure; InternetService Fiber optic; Contract One year
0691-IFBQW,29.59,PaymentMethod Electronic check; InternetService Fiber optic; tenure
4992-LTJNE,5.56,Contract Two year; tenure; InternetService Fiber optic
2202-OUTMO,8.18,InternetService Fiber optic; tenure; MonthlyCharges
0810-BDHAW,9.16,InternetService Fiber optic; Contract One year; PaymentMethod Electronic check
0229-LFJAF,5.33,Contract Two year; tenure; InternetService Fiber optic
7131-ZQZNK,5.19,Contract Two year; tenure; InternetService Fiber optic
3442-ZHHCC,8.51,tenure; InternetService Fiber optic; TotalCharges
5726-CVNYA,5.95,Contract Two year; InternetService Fiber optic; OnlineSecurity No internet service
9871-ELEYA,6.0,Contract Two year; InternetService Fiber optic; tenure
4257-GAESD,27.01,InternetService Fiber optic; tenure; PaymentMethod Electronic check
5173-WXOQV,26.92,tenure; InternetService Fiber optic; TotalCharges
2040-OBMLJ,10.59,Contract One year; tenure; InternetService Fiber optic
6286-ZHAOK,6.53,InternetService Fiber optic; tenure; OnlineSecurity No internet service
3807-XHCJH,35.49,tenure; TotalCharges; InternetService Fiber optic
3009-JWMPU,28.67,tenure; Contract One year; PaymentMethod Electronic check
5671-RQRLP,8.04,Contract Two year; tenure; TotalCharges
1450-GALXR,77.01,tenure; InternetService Fiber optic; MonthlyCharges
8859-AXJZP,5.18,Contract Two year; InternetService Fiber optic; tenure
3174-AKMAS,6.4,Contract Two year; InternetService Fiber optic; tenure
3138-BKYAV,76.93,tenure; InternetService Fiber optic; TotalCharges
9926-PJHDQ,6.24,Contract Two year; tenure; InternetService Fiber optic
7382-DFJTU,11.61,InternetService Fiber optic; PaymentMethod Electronic check; MonthlyCharges
2798-NYLMZ,10.18,Contract Two year; tenure; InternetService Fiber optic
4289-DTDKW,47.67,InternetService Fiber optic; PaymentMethod Electronic check; tenure
1820-TQVEV,85.73,tenure; TotalCharges; InternetService Fiber optic
2239-JALAW,22.19,tenure; InternetService Fiber optic; Contract One year
4853-RULSV,15.29,Contract Two year; tenure; InternetService Fiber optic
8098-TDCBU,5.1,Contract Two year; InternetService Fiber optic; tenure
3551-GAEGL,10.39,InternetService Fiber optic; tenure; Contract One year
4785-NKHCX,12.04,tenure; InternetService Fiber optic; SeniorCitizen
3196-NVXLZ,30.79,InternetService Fiber optic; tenure; PaymentMethod Electronic check
6275-YDUVO,79.94,tenure; TotalCharges; InternetService Fiber optic
0036-IHMOT,12.33,tenure; Contract One year; InternetService Fiber optic
0115-TFERT,46.11,InternetService Fiber optic; PaymentMethod Electronic check; TechSupport Yes
4178-EGMON,6.05,Contract Two year; tenure; TotalCharges
4220-TINQT,28.23,tenure; TotalCharges; InternetService Fiber optic
5318-YKDPV,5.38,Contract Two year; InternetService Fiber optic; tenure
7975-TZMLR,29.52,Contract One year; tenure; InternetService Fiber optic
0295-QVKPB,24.19,tenure; InternetService Fiber optic; MonthlyCharges
4335-BSMJS,5.18,Contract Two year; tenure; InternetService Fiber optic
2311-QYMUQ,48.24,InternetService Fiber optic; tenure; Contract Two year
3643-AHCFP,84.74,tenure; InternetService Fiber optic; MonthlyCharges
9146-JRIOX,8.44,InternetService Fiber optic; Contract Two year; DeviceProtection No internet service
3104-OWCGK,21.99,tenure; PaymentMethod Electronic check; InternetService Fiber optic
5337-IIWKZ,10.76,InternetService Fiber optic; tenure; PaymentMethod Electronic check
9101-BWFSS,24.91,PaymentMethod Electronic check; InternetService Fiber optic; tenure
9650-VBUOG,5.04,Contract Two year; InternetService Fiber optic; tenure
3487-EARAT,7.02,tenure; InternetService Fiber optic; TotalCharges
2672-TGEFF,36.04,InternetService Fiber optic; PaymentMethod Electronic check; tenure
9231-ZJYAM,76.83,tenure; InternetService Fiber optic; TotalCharges
4250-WAROZ,15.81,tenure; TotalCharges; OnlineSecurity Yes
8184-WMOFI,6.82,tenure; InternetService Fiber optic; Contract One year
6982-SSHFK,52.18,tenure; TotalCharges; InternetService Fiber optic
6092-QZVPP,9.41,InternetService Fiber optic; tenure; Contract Two year
4625-LAMOB,4.96,Contract Two year; InternetService Fiber optic; tenure
0727-BMPLR,31.58,tenure; Contract One year; InternetService Fiber optic
0392-BZIUW,7.53,Contract Two year; tenure; TotalCharges
1038-ZAGBI,12.15,InternetService Fiber optic; TotalCharges; tenure
6549-NNDYT,19.52,InternetService Fiber optic; PaymentMethod Electronic check; OnlineSecurity Yes
3027-ZTDHO,86.42,tenure; TotalCharges; InternetService Fiber optic
0422-OHQHQ,5.76,InternetService Fiber optic; Contract One year; OnlineSecurity No internet service
6916-HIJSE,5.29,Contract Two year; tenure; InternetService Fiber optic
2316-ESMLS,8.74,InternetService Fiber optic; Contract One year; OnlineSecurity Yes
9778-OGKQZ,5.03,Contract Two year; tenure; InternetService Fiber optic
7408-OFWXJ,5.07,Contract Two year; tenure; InternetService Fiber optic
6007-TCTST,5.41,Contract Two year; tenure; TotalCharges
2252-NKNSI,5.75,Contract Two year; tenure; InternetService Fiber optic
8713-IGZSO,9.1,tenure; InternetService Fiber optic; TotalCharges
7905-TVXTA,26.32,tenure; InternetService Fiber optic; MonthlyCharges
7695-PKLCZ,4.89,Contract Two year; tenure; InternetService Fiber optic
2382-BCKQJ,27.81,tenure; Contract One year; InternetService Fiber optic
8374-UULRV,5.46,Contract Two year; tenure; InternetService Fiber optic
2207-NHRJK,54.33,tenure; TotalCharges; InternetService Fiber optic
3224-DFQNQ,11.74,tenure; PaymentMethod Electronic check; Contract One year
5275-PMFUT,4.96,Contract Two year; tenure; InternetService Fiber optic
4795-UXVCJ,5.01,InternetService Fiber optic; tenure; Contract One year
9777-IQHWP,7.33,Contract Two year; tenure; TotalCharges
0947-MUGVO,50.32,InternetService Fiber optic; PaymentMethod Electronic check; Contract Two year
9944-HKVVB,80.83,tenure; InternetService Fiber optic; TotalCharges
4124-MMETB,39.59,InternetService Fiber optic; PaymentMethod Electronic check; tenure
3671-SHRSP,72.12,tenure; InternetService Fiber optic; TotalCharges
0979-MOZQI,6.14,Contract Two year; tenure; InternetService Fiber optic
2732-ISEZX,8.3,InternetService Fiber optic; tenure; OnlineSecurity No internet service
3313-QKNKB,17.59,tenure; Contract One year; TotalCharges
0323-XWWTN,8.98,Contract Two year; tenure; InternetService Fiber optic
1937-OTUKY,6.38,Contract Two year; tenure; TotalCharges
1573-LGXBA,14.01,tenure; Contract One year; InternetService Fiber optic
1764-VUUMT,5.25,Contract Two year; tenure; InternetService Fiber optic
5073-WXOYN,21.09,tenure; PaymentMethod Electronic check; InternetService Fiber optic
4713-ZBURT,11.75,Contract Two year; tenure; InternetService Fiber optic
3050-GBUSH,44.42,tenure; TotalCharges; InternetService Fiber optic
0207-MDKNV,56.97,InternetService Fiber optic; tenure; MonthlyCharges
7876-AEHIG,6.8,tenure; InternetService Fiber optic; Contract One year
7945-HLKEA,6.91,tenure; InternetService Fiber optic; Contract One year
9342-VNIMQ,10.56,InternetService Fiber optic; tenure; TotalCharges
9851-KIELU,60.48,tenure; InternetService Fiber optic; MonthlyCharges
3523-BRGUW,4.97,InternetService Fiber optic; tenure; Contract One year
3908-BLSYF,71.63,tenure; InternetService Fiber optic; TotalCharges
3199-NPKCN,15.06,tenure; TotalCharges; OnlineSecurity Yes
5170-PTRKA,6.26,tenure; InternetService Fiber optic; Contract One year
4661-NJEUX,42.88,tenure; TotalCharges; InternetService Fiber optic
2123-AGEEN,77.89,tenure; InternetService Fiber optic; TotalCharges
1258-YMZNM,19.02,Contract One year; InternetService Fiber optic; tenure
0048-LUMLS,14.28,Contract One year; tenure; InternetService Fiber optic
7549-MYGPK,22.28,tenure; OnlineSecurity Yes; TotalCharges
5898-IGSLP,17.64,OnlineSecurity Yes; InternetService Fiber optic; PaymentMethod Electronic check
3804-RVTGV,30.84,InternetService Fiber optic; tenure; TotalCharges
6259-WJQLC,27.98,tenure; InternetService Fiber optic; PaymentMethod Electronic check
9227-LUNBG,63.05,tenure; TotalCharges; InternetService Fiber optic
7997-EASSD,10.1,tenure; Contract One year; TotalCharges
0730-KOAVE,20.87,tenure; InternetService Fiber optic; OnlineSecurity Yes
8975-SKGRX,6.37,Contract Two year; tenure; OnlineSecurity Yes
0678-RLHVP,18.25,Contract Two year; tenure; PaymentMethod Electronic check
4315-MURBD,66.42,tenure; InternetService Fiber optic; MonthlyCharges
2267-FPIMA,17.51,tenure; InternetService Fiber optic; OnlineSecurity Yes
1051-GEJLJ,9.95,tenure; InternetService Fiber optic; TotalCharges
9734-YWGEX,77.36,tenure; InternetService Fiber optic; MonthlyCharges
2719-BDAQO,50.04,InternetService Fiber optic; PaymentMethod Electronic check; MonthlyCharges
5285-MVEHD,15.55,tenure; InternetService Fiber optic; Contract One year
0379-DJQHR,5.36,Contract Two year; tenure; InternetService Fiber optic
0781-LKXBR,84.53,tenure; InternetService Fiber optic; MonthlyCharges
5543-QDCRY,36.46,tenure; InternetService Fiber optic; MonthlyCharges
0297-RBCSG,11.56,InternetService Fiber optic; Contract One year; MonthlyCharges
4694-PHWFW,7.94,InternetService Fiber optic; OnlineSecurity No internet service; TechSupport No internet service
0835-JKADZ,8.04,Contract Two year; tenure; TotalCharges
1907-UBQFC,62.27,InternetService Fiber optic; tenure; PaymentMethod Electronic check
7508-SMHXL,39.29,InternetService Fiber optic; PaperlessBilling Yes; PaymentMethod Electronic check
3865-YIOTT,12.45,tenure; Contract One year; TotalCharges
5993-BQHEA,6.0,Contract One year; InternetService Fiber optic; OnlineSecurity No internet service
6024-RUGGH,4.86,Contract Two year; tenure; InternetService Fiber optic
6513-EECDB,85.85,tenure; TotalCharges; InternetService Fiber optic
3956-CJUST,25.59,InternetService Fiber optic; OnlineSecurity Yes; tenure
4079-WWQQQ,5.14,Contract Two year; tenure; InternetService Fiber optic
6103-BOCOU,41.66,InternetService Fiber optic; PaymentMethod Electronic check; tenure
5149-TGWDZ,18.89,Contract One year; InternetService Fiber optic; MonthlyCharges
7471-WNSUF,5.7,tenure; InternetService Fiber optic; Contract One year
8942-DBMHZ,7.32,InternetService Fiber optic; OnlineSecurity No internet service; TechSupport No internet service
4301-VVZKA,58.86,InternetService Fiber optic; PaymentMethod Electronic check; Contract Two year
9199-PWQVC,8.18,tenure; InternetService Fiber optic; Contract One year
4824-GUCBY,28.41,PaymentMethod Electronic check; OnlineSecurity Yes; InternetService Fiber optic
5393-HJZSM,8.35,InternetService Fiber optic; tenure; Contract Two year
7074-IEVOJ,79.91,tenure; InternetService Fiber optic; TotalCharges
9625-QSTYE,65.53,InternetService Fiber optic; PaymentMethod Electronic check; tenure
0862-PRCBS,7.27,Contract Two year; tenure; TotalCharges
8812-ZRHFP,22.03,Contract One year; PaymentMethod Electronic check; InternetService Fiber optic
5146-CBVOE,31.14,InternetService Fiber optic; PaperlessBilling Yes; PaymentMethod Electronic check
0454-OKRCT,8.4,Contract Two year; tenure; InternetService Fiber optic
5787-KXGIY,5.08,Contract Two year; tenure; InternetService Fiber optic
4750-ZRXIU,83.04,tenure; InternetService Fiber optic; TotalCharges
4198-VFOEA,10.53,Contract One year; InternetService Fiber optic; PaymentMethod Electronic check
6630-UJZMY,82.98,tenure; InternetService Fiber optic; TotalCharges
6400-BWQKW,47.05,OnlineSecurity Yes; tenure; InternetService Fiber optic
2692-AQCPF,13.86,tenure; Contract One year; InternetService Fiber optic
0347-UBKUZ,8.28,InternetService Fiber optic; OnlineSecurity No internet service; TechSupport No internet service
0835-DUUIQ,6.32,InternetService Fiber optic; tenure; Contract One year
0811-GSDTP,16.39,InternetService Fiber optic; PaymentMethod Electronic check; PaperlessBilling Yes
7567-ECMCM,26.96,InternetService Fiber optic; tenure; PaymentMethod Electronic check
6115-ZTBFQ,5.06,Contract Two year; tenure; InternetService Fiber optic
6353-BRMMA,18.05,tenure; InternetService Fiber optic; OnlineSecurity Yes
6680-WKXRZ,74.93,tenure; InternetService Fiber optic; TotalCharges
6231-WFGFH,10.42,tenure; InternetService Fiber optic; TotalCharges
9904-EHEVJ,30.88,InternetService Fiber optic; tenure; PaymentMethod Electronic check
7028-DVOIQ,52.97,InternetService Fiber optic; tenure; PaymentMethod Electronic check
6169-PPETC,4.92,Contract Two year; InternetService Fiber optic; tenure
4208-UFFGW,57.04,tenure; TotalCharges; InternetService Fiber optic
8584-KMVXD,53.55,InternetService Fiber optic; tenure; PaymentMethod Electronic check
8467-WYNSR,9.0,InternetService Fiber optic; tenure; PaymentMethod Electronic check
0851-DFJKB,17.75,InternetService Fiber optic; PaymentMethod Electronic check; OnlineSecurity Yes
5382-SOYZL,56.85,InternetService Fiber optic; PaymentMethod Electronic check; Contract Two year
9448-REEVD,53.61,tenure; TotalCharges; InternetService Fiber optic
3261-CQXOL,4.8,Contract Two year; tenure; InternetService Fiber optic
8388-FYNPZ,25.86,tenure; InternetService Fiber optic; OnlineSecurity Yes
4002-BQWPQ,9.72,InternetService Fiber optic; tenure; Contract Two year
5651-YLPRD,34.13,InternetService Fiber optic; PaymentMethod Electronic check; tenure
2826-DXLQO,25.87,InternetService Fiber optic; OnlineSecurity Yes; tenure
4378-BZYFP,5.67,InternetService Fiber optic; Contract One year; OnlineSecurity No internet service
9489-UTFKA,18.71,InternetService Fiber optic; tenure; MonthlyCharges
4849-PYRLQ,5.92,Contract Two year; tenure; InternetService Fiber optic
9117-SHLZX,56.72,tenure; TotalCharges; InternetService Fiber optic
9889-TMAHG,65.14,tenure; InternetService Fiber optic; MonthlyCharges
4541-RMRLG,8.04,InternetService Fiber optic; OnlineSecurity No internet service; TechSupport No internet service
7764-BDPEE,7.24,tenure; InternetService Fiber optic; OnlineSecurity No internet service
3429-IFLEM,5.39,Contract Two year; tenure; InternetService Fiber optic
3158-MOERK,86.5,tenure; InternetService Fiber optic; TotalCharges
7294-TMAOP,87.33,tenure; TotalCharges; InternetService Fiber optic
5002-GCQFH,18.69,tenure; InternetService Fiber optic; OnlineSecurity Yes
0556-FJEGU,5.85,Contract Two year; tenure; InternetService Fiber optic
8919-FYFQZ,31.69,PaymentMethod Electronic check; InternetService Fiber optic; tenure
0604-THJFP,5.56,Contract Two year; tenure; InternetService Fiber optic
2834-JRTUA,16.38,Contract Two year; tenure; InternetService Fiber optic
5875-YPQFJ,85.82,tenure; TotalCharges; InternetService Fiber optic
5879-SESNB,55.15,InternetService Fiber optic; PaymentMethod Electronic check; PaperlessBilling Yes
6646-QVXLR,25.72,tenure; Contract One year; TotalCharges
6461-PPAXN,6.48,InternetService Fiber optic; tenure; Contract One year
3318-ISQFQ,7.0,InternetService Fiber optic; tenure; OnlineSecurity No internet service
1106-HRLKZ,4.97,Contract Two year; InternetService Fiber optic; tenure
2483-XSSMZ,10.66,InternetService Fiber optic; Contract One year; tenure
8603-IJWDN,87.83,tenure; TotalCharges; InternetService Fiber optic
8165-ZJRNM,4.83,Contract Two year; tenure; InternetService Fiber optic
9369-XFEHK,28.26,tenure; InternetService Fiber optic; PaymentMethod Electronic check
2604-XVDAM,17.33,InternetService Fiber optic; PaymentMethod Electronic check; Contract Two year
3717-OFRTN,20.85,tenure; TotalCharges; InternetService Fiber optic
9046-JBFWA,6.18,InternetService Fiber optic; tenure; OnlineSecurity No internet service
3280-NMUVX,5.0,InternetService Fiber optic; tenure; Contract One year
1206-EHBDD,6.81,Contract Two year; tenure; TotalCharges
8361-LBRDI,5.04,Contract Two year; tenure; InternetService Fiber optic
4883-KCPZJ,5.4,Contract Two year; InternetService Fiber optic; tenure
9108-EQPNQ,6.54,Contract Two year; InternetService Fiber optic; tenure
7277-KAMWT,5.6,Contract Two year; InternetService Fiber optic; OnlineSecurity No internet service
3842-IYKUE,19.44,tenure; InternetService Fiber optic; PaymentMethod Electronic check
6641-XRPSU,27.09,InternetService Fiber optic; tenure; PaymentMethod Electronic check
1374-DMZUI,87.02,tenure; InternetService Fiber optic; MonthlyCharges
2545-LXYVJ,4.87,Contract Two year; tenure; InternetService Fiber optic
3234-VKACU,44.64,tenure; TotalCharges; InternetService Fiber optic
8357-EQXFO,81.41,tenure; InternetService Fiber optic; MonthlyCharges
1989-PRJHP,46.08,InternetService Fiber optic; PaymentMethod Electronic check; tenure
8120-JDCAM,53.69,tenure; InternetService Fiber optic; TotalCharges
8917-FAEMR,4.96,Contract Two year; tenure; InternetService Fiber optic
7047-YXDMZ,6.31,InternetService Fiber optic; tenure; OnlineSecurity No internet service
2858-EIMXH,20.89,tenure; Contract One year; TotalCharges
9524-EGPJC,50.87,InternetService Fiber optic; PaymentMethod Electronic check; TechSupport Yes
6993-OHLXR,70.5,tenure; TotalCharges; InternetService Fiber optic
8818-XYFCQ,27.8,InternetService Fiber optic; tenure; OnlineSecurity Yes
6419-ZTTLE,5.37,InternetService Fiber optic; Contract One year; tenure
0929-HYQEW,35.87,tenure; TotalCharges; OnlineSecurity Yes
6614-YOLAC,5.18,Contract Two year; tenure; InternetService Fiber optic
7426-RHZGU,59.64,tenure; InternetService Fiber optic; MonthlyCharges
4065-JJAVA,47.7,tenure; TotalCharges; InternetService Fiber optic
4695-VADHF,17.17,InternetService Fiber optic; PaymentMethod Electronic check; MonthlyCharges
3863-IUBJR,14.95,InternetService Fiber optic; Contract One year; PaymentMethod Electronic check
7649-SIJJF,5.03,Contract Two year; tenure; InternetService Fiber optic
9361-YNQWJ,5.49,tenure; InternetService Fiber optic; Contract One year
3748-FVMZZ,51.26,tenure; TotalCharges; PaymentMethod Electronic check
9391-TTOYH,6.56,InternetService Fiber optic; tenure; OnlineSecurity No internet service
1452-XRSJV,8.8,InternetService Fiber optic; tenure; TotalCharges
3422-WJOYD,6.49,InternetService Fiber optic; tenure; Contract One year
8242-SOQUO,75.94,tenure; InternetService Fiber optic; TotalCharges
7460-ITWWP,37.69,tenure; InternetService Fiber optic; PaymentMethod Electronic check
7147-AYBAA,23.02,InternetService Fiber optic; tenure; PaymentMethod Electronic check
7868-TMWMZ,7.31,Contract Two year; tenure; TotalCharges
4822-RVYBB,85.8,tenure; InternetService Fiber optic; MonthlyCharges
6732-FZUGP,11.03,tenure; Contract One year; InternetService Fiber optic
8436-BJUMM,48.33,InternetService Fiber optic; PaymentMethod Electronic check; tenure
4184-TJFAN,71.35,tenure; InternetService Fiber optic; TotalCharges
8329-GWVPJ,22.05,tenure; InternetService Fiber optic; TotalCharges
1352-VHKAJ,8.26,InternetService Fiber optic; tenure; TotalCharges
4145-UQXUQ,81.18,tenure; InternetService Fiber optic; MonthlyCharges
2632-TACXW,4.83,Contract Two year; tenure; InternetService Fiber optic
8146-QQKZH,5.24,Contract Two year; tenure; InternetService Fiber optic
1767-CJKBA,4.94,Contract Two year; tenure; InternetService Fiber optic
6445-TNRXS,6.52,Contract Two year; tenure; TotalCharges
4581-LNWUM,23.74,InternetService Fiber optic; PaymentMethod Electronic check; PaperlessBilling Yes
4869-EPIUS,18.22,tenure; Contract One year; TotalCharges
9948-YPTDG,30.55,PaymentMethod Electronic check; InternetService Fiber optic; OnlineSecurity Yes
1236-WFCDV,51.73,InternetService Fiber optic; MonthlyCharges; Contract Two year
1915-OAKWD,9.89,InternetService Fiber optic; Contract One year; TotalCharges
7296-PIXQY,48.26,InternetService Fiber optic; PaymentMethod Electronic check; PaperlessBilling Yes
4883-QICIH,27.96,InternetService Fiber optic; tenure; PaymentMethod Electronic check
3354-OADJP,10.53,InternetService Fiber optic; Contract One year; tenure
3524-WQDSG,32.46,InternetService Fiber optic; tenure; TotalCharges
0810-DHDBD,7.19,tenure; InternetService Fiber optic; Contract One year
4026-SKKHW,38.01,tenure; TotalCharges; InternetService Fiber optic
2829-HYVZP,5.29,InternetService Fiber optic; tenure; Contract One year
8329-IBCTI,27.07,tenure; TotalCharges; InternetService Fiber optic
1271-SJBGZ,38.36,InternetService Fiber optic; PaymentMethod Electronic check; TechSupport Yes
3845-JHAMY,15.85,InternetService Fiber optic; PaymentMethod Electronic check; Contract Two year
7013-PSXHK,9.6,InternetService Fiber optic; tenure; Contract One year
5669-SRAIP,56.85,tenure; PaymentMethod Electronic check; TotalCharges
5981-ITEMU,34.99,InternetService Fiber optic; tenure; TotalCharges
3486-NPGST,5.2,tenure; InternetService Fiber optic; Contract One year
6941-PMGEP,73.69,tenure; InternetService Fiber optic; PaymentMethod Electronic check
1624-WOIWJ,61.28,tenure; InternetService Fiber optic; OnlineSecurity Yes
2074-GKOWZ,78.69,tenure; TotalCharges; InternetService Fiber optic
0376-YMCJC,43.64,InternetService Fiber optic; PaymentMethod Electronic check; tenure
6100-FJZDG,5.19,InternetService Fiber optic; tenure; Contract One year
4829-ZLJTK,6.9,Contract Two year; tenure; TotalCharges
1730-VFMWO,8.57,InternetService Fiber optic; tenure; TotalCharges
7143-BQIBA,13.9,InternetService Fiber optic; tenure; MonthlyCharges
3800-LYTRK,9.56,InternetService Fiber optic; Contract One year; OnlineSecurity Yes
0634-SZPQA,31.19,InternetService Fiber optic; PaymentMethod Electronic check; OnlineSecurity Yes
9646-NMHXE,5.02,Contract Two year; tenure; InternetService Fiber optic
7030-NJVDP,23.92,InternetService Fiber optic; PaymentMethod Electronic check; TechSupport Yes
5536-RTPWK,32.21,tenure; InternetService Fiber optic; TotalCharges
8883-GRDWQ,10.07,Contract One year; InternetService Fiber optic; SeniorCitizen
6166-ILMNY,66.73,tenure; TotalCharges; InternetService Fiber optic
3097-NNSPB,52.39,tenure; TotalCharges; InternetService Fiber optic
7771-ZONAT,6.52,Contract Two year; InternetService Fiber optic; TechSupport Yes
0655-RBDUG,82.91,tenure; InternetService Fiber optic; MonthlyCharges
2111-DWYHN,16.98,tenure; TotalCharges; InternetService Fiber optic
4194-WHFCB,14.55,tenure; TotalCharges; InternetService Fiber optic
4121-AGSIN,5.11,tenure; InternetService Fiber optic; Contract One year
4361-BKAXE,21.85,InternetService Fiber optic; tenure; Contract Two year
9845-PEEKO,8.65,Contract Two year; tenure; TotalCharges
0455-XFASS,64.01,tenure; InternetService Fiber optic; TotalCharges
0301-KOBTQ,5.01,Contract Two year; InternetService Fiber optic; tenure
